"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","FsizeD"
"56",1,"1","male",55,0,0,35.5,"S","Mr","singleton"
"57",1,"2","female",21,0,0,10.5,"S","Miss","singleton"
"58",0,"3","male",28.5,0,0,7.2292,"C","Mr","singleton"
"59",1,"2","female",5,1,2,27.75,"S","Miss","small"
"60",0,"3","male",11,5,2,46.9,"S","Master","large"
"61",0,"3","male",22,0,0,7.2292,"C","Mr","singleton"
"62",1,"1","female",38,0,0,80,"C","Miss","singleton"
"63",0,"1","male",45,1,0,83.475,"S","Mr","small"
"64",0,"3","male",4,3,2,27.9,"S","Master","large"
"65",0,"1","male",48,0,0,27.7208,"C","Mr","singleton"
"66",1,"3","male",12,1,1,15.2458,"C","Master","small"
"67",1,"2","female",29,0,0,10.5,"S","Mrs","singleton"
"68",0,"3","male",19,0,0,8.1583,"S","Mr","singleton"
"69",1,"3","female",17,4,2,7.925,"S","Miss","large"
"70",0,"3","male",26,2,0,8.6625,"S","Mr","small"
"71",0,"2","male",32,0,0,10.5,"S","Mr","singleton"
"72",0,"3","female",16,5,2,46.9,"S","Miss","large"
"73",0,"2","male",21,0,0,73.5,"S","Mr","singleton"
"74",0,"3","male",26,1,0,14.4542,"C","Mr","small"
"75",1,"3","male",32,0,0,56.4958,"S","Mr","singleton"
"76",0,"3","male",25,0,0,7.65,"S","Mr","singleton"
"77",0,"3","male",32,0,0,7.8958,"S","Mr","singleton"
"78",0,"3","male",33,0,0,8.05,"S","Mr","singleton"
"79",1,"2","male",0.83,0,2,29,"S","Master","small"
"80",1,"3","female",30,0,0,12.475,"S","Miss","singleton"
"81",0,"3","male",22,0,0,9,"S","Mr","singleton"
"82",1,"3","male",29,0,0,9.5,"S","Mr","singleton"
"83",1,"3","female",16,0,0,7.7875,"Q","Miss","singleton"
"84",0,"1","male",28,0,0,47.1,"S","Mr","singleton"
"85",1,"2","female",17,0,0,10.5,"S","Miss","singleton"
"86",1,"3","female",33,3,0,15.85,"S","Mrs","small"
"87",0,"3","male",16,1,3,34.375,"S","Mr","large"
"88",0,"3","male",14,0,0,8.05,"S","Mr","singleton"
"89",1,"1","female",23,3,2,263,"S","Miss","large"
"90",0,"3","male",24,0,0,8.05,"S","Mr","singleton"
"91",0,"3","male",29,0,0,8.05,"S","Mr","singleton"
"92",0,"3","male",20,0,0,7.8542,"S","Mr","singleton"
"93",0,"1","male",46,1,0,61.175,"S","Mr","small"
"94",0,"3","male",26,1,2,20.575,"S","Mr","small"
"95",0,"3","male",59,0,0,7.25,"S","Mr","singleton"
"96",0,"3","male",20,0,0,8.05,"S","Mr","singleton"
"97",0,"1","male",71,0,0,34.6542,"C","Mr","singleton"
"98",1,"1","male",23,0,1,63.3583,"C","Mr","small"
"99",1,"2","female",34,0,1,23,"S","Mrs","small"
"100",0,"2","male",34,1,0,26,"S","Mr","small"
"101",0,"3","female",28,0,0,7.8958,"S","Miss","singleton"
"102",0,"3","male",74,0,0,7.8958,"S","Mr","singleton"
"103",0,"1","male",21,0,1,77.2875,"S","Mr","small"
"104",0,"3","male",33,0,0,8.6542,"S","Mr","singleton"
"105",0,"3","male",37,2,0,7.925,"S","Mr","small"
"106",0,"3","male",28,0,0,7.8958,"S","Mr","singleton"
"107",1,"3","female",21,0,0,7.65,"S","Miss","singleton"
"108",1,"3","male",22,0,0,7.775,"S","Mr","singleton"
"109",0,"3","male",38,0,0,7.8958,"S","Mr","singleton"
"110",1,"3","female",27,1,0,24.15,"Q","Miss","small"
"111",0,"1","male",47,0,0,52,"S","Mr","singleton"
"112",0,"3","female",14.5,1,0,14.4542,"C","Miss","small"
"113",0,"3","male",22,0,0,8.05,"S","Mr","singleton"
"114",0,"3","female",20,1,0,9.825,"S","Miss","small"
"115",0,"3","female",17,0,0,14.4583,"C","Miss","singleton"
"116",0,"3","male",21,0,0,7.925,"S","Mr","singleton"
"117",0,"3","male",70.5,0,0,7.75,"Q","Mr","singleton"
"118",0,"2","male",29,1,0,21,"S","Mr","small"
"119",0,"1","male",24,0,1,247.5208,"C","Mr","small"
"120",0,"3","female",2,4,2,31.275,"S","Miss","large"
"121",0,"2","male",21,2,0,73.5,"S","Mr","small"
"122",0,"3","male",50,0,0,8.05,"S","Mr","singleton"
"123",0,"2","male",32.5,1,0,30.0708,"C","Mr","small"
"124",1,"2","female",32.5,0,0,13,"S","Miss","singleton"
"125",0,"1","male",54,0,1,77.2875,"S","Mr","small"
"126",1,"3","male",12,1,0,11.2417,"C","Master","small"
"127",0,"3","male",38,0,0,7.75,"Q","Mr","singleton"
"128",1,"3","male",24,0,0,7.1417,"S","Mr","singleton"
"129",1,"3","female",2,1,1,22.3583,"C","Miss","small"
"130",0,"3","male",45,0,0,6.975,"S","Mr","singleton"
"131",0,"3","male",33,0,0,7.8958,"C","Mr","singleton"
"132",0,"3","male",20,0,0,7.05,"S","Mr","singleton"
"133",0,"3","female",47,1,0,14.5,"S","Mrs","small"
"134",1,"2","female",29,1,0,26,"S","Mrs","small"
"135",0,"2","male",25,0,0,13,"S","Mr","singleton"
"136",0,"2","male",23,0,0,15.0458,"C","Mr","singleton"
"137",1,"1","female",19,0,2,26.2833,"S","Miss","small"
"138",0,"1","male",37,1,0,53.1,"S","Mr","small"
"139",0,"3","male",16,0,0,9.2167,"S","Mr","singleton"
"140",0,"1","male",24,0,0,79.2,"C","Mr","singleton"
"141",0,"3","female",28,0,2,15.2458,"C","Mrs","small"
"142",1,"3","female",22,0,0,7.75,"S","Miss","singleton"
"143",1,"3","female",24,1,0,15.85,"S","Mrs","small"
"144",0,"3","male",19,0,0,6.75,"Q","Mr","singleton"
"145",0,"2","male",18,0,0,11.5,"S","Mr","singleton"
"146",0,"2","male",19,1,1,36.75,"S","Mr","small"
"147",1,"3","male",27,0,0,7.7958,"S","Mr","singleton"
"148",0,"3","female",9,2,2,34.375,"S","Miss","large"
"149",0,"2","male",36.5,0,2,26,"S","Mr","small"
"150",0,"2","male",42,0,0,13,"S","Rare Title","singleton"
"151",0,"2","male",51,0,0,12.525,"S","Rare Title","singleton"
"152",1,"1","female",22,1,0,66.6,"S","Mrs","small"
"153",0,"3","male",55.5,0,0,8.05,"S","Mr","singleton"
"154",0,"3","male",40.5,0,2,14.5,"S","Mr","small"
"155",0,"3","male",19,0,0,7.3125,"S","Mr","singleton"
"156",0,"1","male",51,0,1,61.3792,"C","Mr","small"
"157",1,"3","female",16,0,0,7.7333,"Q","Miss","singleton"
"158",0,"3","male",30,0,0,8.05,"S","Mr","singleton"
"159",0,"3","male",20,0,0,8.6625,"S","Mr","singleton"
"160",0,"3","male",4,8,2,69.55,"S","Master","large"
"161",0,"3","male",44,0,1,16.1,"S","Mr","small"
"162",1,"2","female",40,0,0,15.75,"S","Mrs","singleton"
"163",0,"3","male",26,0,0,7.775,"S","Mr","singleton"
"164",0,"3","male",17,0,0,8.6625,"S","Mr","singleton"
"165",0,"3","male",1,4,1,39.6875,"S","Master","large"
"166",1,"3","male",9,0,2,20.525,"S","Master","small"
"167",1,"1","female",25,0,1,55,"S","Mrs","small"
"168",0,"3","female",45,1,4,27.9,"S","Mrs","large"
"169",0,"1","male",42,0,0,25.925,"S","Mr","singleton"
"170",0,"3","male",28,0,0,56.4958,"S","Mr","singleton"
"171",0,"1","male",61,0,0,33.5,"S","Mr","singleton"
"172",0,"3","male",4,4,1,29.125,"Q","Master","large"
"173",1,"3","female",1,1,1,11.1333,"S","Miss","small"
"174",0,"3","male",21,0,0,7.925,"S","Mr","singleton"
"175",0,"1","male",56,0,0,30.6958,"C","Mr","singleton"
"176",0,"3","male",18,1,1,7.8542,"S","Mr","small"
"177",0,"3","male",2,3,1,25.4667,"S","Master","large"
"178",0,"1","female",50,0,0,28.7125,"C","Miss","singleton"
"179",0,"2","male",30,0,0,13,"S","Mr","singleton"
"180",0,"3","male",36,0,0,0,"S","Mr","singleton"
"181",0,"3","female",9,8,2,69.55,"S","Miss","large"
"182",0,"2","male",23,0,0,15.05,"C","Mr","singleton"
"183",0,"3","male",9,4,2,31.3875,"S","Master","large"
"184",1,"2","male",1,2,1,39,"S","Master","small"
"185",1,"3","female",4,0,2,22.025,"S","Miss","small"
"186",0,"1","male",24,0,0,50,"S","Mr","singleton"
"187",1,"3","female",24,1,0,15.5,"Q","Mrs","small"
"188",1,"1","male",45,0,0,26.55,"S","Mr","singleton"
"189",0,"3","male",40,1,1,15.5,"Q","Mr","small"
"190",0,"3","male",36,0,0,7.8958,"S","Mr","singleton"
"191",1,"2","female",32,0,0,13,"S","Mrs","singleton"
"192",0,"2","male",19,0,0,13,"S","Mr","singleton"
"193",1,"3","female",19,1,0,7.8542,"S","Miss","small"
"194",1,"2","male",3,1,1,26,"S","Master","small"
"195",1,"1","female",44,0,0,27.7208,"C","Mrs","singleton"
"196",1,"1","female",58,0,0,146.5208,"C","Miss","singleton"
"197",0,"3","male",21,0,0,7.75,"Q","Mr","singleton"
"198",0,"3","male",42,0,1,8.4042,"S","Mr","small"
"199",1,"3","female",30,0,0,7.75,"Q","Miss","singleton"
"200",0,"2","female",24,0,0,13,"S","Miss","singleton"
"201",0,"3","male",28,0,0,9.5,"S","Mr","singleton"
"202",0,"3","male",14,8,2,69.55,"S","Mr","large"
"203",0,"3","male",34,0,0,6.4958,"S","Mr","singleton"
"204",0,"3","male",45.5,0,0,7.225,"C","Mr","singleton"
"205",1,"3","male",18,0,0,8.05,"S","Mr","singleton"
"206",0,"3","female",2,0,1,10.4625,"S","Miss","small"
"207",0,"3","male",32,1,0,15.85,"S","Mr","small"
"208",1,"3","male",26,0,0,18.7875,"C","Mr","singleton"
"209",1,"3","female",16,0,0,7.75,"Q","Miss","singleton"
"210",1,"1","male",40,0,0,31,"C","Mr","singleton"
"211",0,"3","male",24,0,0,7.05,"S","Mr","singleton"
"212",1,"2","female",35,0,0,21,"S","Miss","singleton"
"213",0,"3","male",22,0,0,7.25,"S","Mr","singleton"
"214",0,"2","male",30,0,0,13,"S","Mr","singleton"
"215",0,"3","male",21,1,0,7.75,"Q","Mr","small"
"216",1,"1","female",31,1,0,113.275,"C","Miss","small"
"217",1,"3","female",27,0,0,7.925,"S","Miss","singleton"
"218",0,"2","male",42,1,0,27,"S","Mr","small"
"219",1,"1","female",32,0,0,76.2917,"C","Miss","singleton"
"220",0,"2","male",30,0,0,10.5,"S","Mr","singleton"
"221",1,"3","male",16,0,0,8.05,"S","Mr","singleton"
"222",0,"2","male",27,0,0,13,"S","Mr","singleton"
"223",0,"3","male",51,0,0,8.05,"S","Mr","singleton"
"224",0,"3","male",35,0,0,7.8958,"S","Mr","singleton"
"225",1,"1","male",38,1,0,90,"S","Mr","small"
"226",0,"3","male",22,0,0,9.35,"S","Mr","singleton"
"227",1,"2","male",19,0,0,10.5,"S","Mr","singleton"
"228",0,"3","male",20.5,0,0,7.25,"S","Mr","singleton"
"229",0,"2","male",18,0,0,13,"S","Mr","singleton"
"230",0,"3","female",2,3,1,25.4667,"S","Miss","large"
"231",1,"1","female",35,1,0,83.475,"S","Mrs","small"
"232",0,"3","male",29,0,0,7.775,"S","Mr","singleton"
"233",0,"2","male",59,0,0,13.5,"S","Mr","singleton"
"234",1,"3","female",5,4,2,31.3875,"S","Miss","large"
"235",0,"2","male",24,0,0,10.5,"S","Mr","singleton"
"236",0,"3","female",15,0,0,7.55,"S","Miss","singleton"
"237",0,"2","male",44,1,0,26,"S","Mr","small"
"238",1,"2","female",8,0,2,26.25,"S","Miss","small"
"239",0,"2","male",19,0,0,10.5,"S","Mr","singleton"
"240",0,"2","male",33,0,0,12.275,"S","Mr","singleton"
"241",0,"3","female",4,1,0,14.4542,"C","Miss","small"
"242",1,"3","female",14.5,1,0,15.5,"Q","Miss","small"
"243",0,"2","male",29,0,0,10.5,"S","Mr","singleton"
"244",0,"3","male",22,0,0,7.125,"S","Mr","singleton"
"245",0,"3","male",30,0,0,7.225,"C","Mr","singleton"
"246",0,"1","male",44,2,0,90,"Q","Rare Title","small"
"247",0,"3","female",25,0,0,7.775,"S","Miss","singleton"
"248",1,"2","female",24,0,2,14.5,"S","Mrs","small"
"249",1,"1","male",37,1,1,52.5542,"S","Mr","small"
"250",0,"2","male",54,1,0,26,"S","Rare Title","small"
"251",0,"3","male",20,0,0,7.25,"S","Mr","singleton"
"252",0,"3","female",29,1,1,10.4625,"S","Mrs","small"
"253",0,"1","male",62,0,0,26.55,"S","Mr","singleton"
"254",0,"3","male",30,1,0,16.1,"S","Mr","small"
"255",0,"3","female",41,0,2,20.2125,"S","Mrs","small"
"256",1,"3","female",29,0,2,15.2458,"C","Mrs","small"
"257",1,"1","female",60,0,0,79.2,"C","Mrs","singleton"
"258",1,"1","female",30,0,0,86.5,"S","Miss","singleton"
"259",1,"1","female",35,0,0,512.3292,"C","Miss","singleton"
"260",1,"2","female",50,0,1,26,"S","Mrs","small"
"261",0,"3","male",20,0,0,7.75,"Q","Mr","singleton"
"262",1,"3","male",3,4,2,31.3875,"S","Master","large"
"263",0,"1","male",52,1,1,79.65,"S","Mr","small"
"264",0,"1","male",40,0,0,0,"S","Mr","singleton"
"265",0,"3","female",37,0,0,7.75,"Q","Miss","singleton"
"266",0,"2","male",36,0,0,10.5,"S","Mr","singleton"
"267",0,"3","male",16,4,1,39.6875,"S","Mr","large"
"268",1,"3","male",25,1,0,7.775,"S","Mr","small"
"269",1,"1","female",58,0,1,153.4625,"S","Mrs","small"
"270",1,"1","female",35,0,0,135.6333,"S","Miss","singleton"
"271",0,"1","male",27,0,0,31,"S","Mr","singleton"
"272",1,"3","male",25,0,0,0,"S","Mr","singleton"
"273",1,"2","female",41,0,1,19.5,"S","Mrs","small"
"274",0,"1","male",37,0,1,29.7,"C","Mr","small"
"275",1,"3","female",21,0,0,7.75,"Q","Miss","singleton"
"276",1,"1","female",63,1,0,77.9583,"S","Miss","small"
"277",0,"3","female",45,0,0,7.75,"S","Miss","singleton"
"278",0,"2","male",22,0,0,0,"S","Mr","singleton"
"279",0,"3","male",7,4,1,29.125,"Q","Master","large"
"280",1,"3","female",35,1,1,20.25,"S","Mrs","small"
"281",0,"3","male",65,0,0,7.75,"Q","Mr","singleton"
"282",0,"3","male",28,0,0,7.8542,"S","Mr","singleton"
"283",0,"3","male",16,0,0,9.5,"S","Mr","singleton"
"284",1,"3","male",19,0,0,8.05,"S","Mr","singleton"
"285",0,"1","male",47,0,0,26,"S","Mr","singleton"
"286",0,"3","male",33,0,0,8.6625,"C","Mr","singleton"
"287",1,"3","male",30,0,0,9.5,"S","Mr","singleton"
"288",0,"3","male",22,0,0,7.8958,"S","Mr","singleton"
"289",1,"2","male",42,0,0,13,"S","Mr","singleton"
"290",1,"3","female",22,0,0,7.75,"Q","Miss","singleton"
"291",1,"1","female",26,0,0,78.85,"S","Miss","singleton"
"292",1,"1","female",19,1,0,91.0792,"C","Mrs","small"
"293",0,"2","male",36,0,0,12.875,"C","Mr","singleton"
"294",0,"3","female",24,0,0,8.85,"S","Miss","singleton"
"295",0,"3","male",24,0,0,7.8958,"S","Mr","singleton"
"296",0,"1","male",30,0,0,27.7208,"C","Mr","singleton"
"297",0,"3","male",23.5,0,0,7.2292,"C","Mr","singleton"
"298",0,"1","female",2,1,2,151.55,"S","Miss","small"
"299",1,"1","male",47,0,0,30.5,"S","Mr","singleton"
"300",1,"1","female",50,0,1,247.5208,"C","Mrs","small"
"301",1,"3","female",16,0,0,7.75,"Q","Miss","singleton"
"302",1,"3","male",26,2,0,23.25,"Q","Mr","small"
"303",0,"3","male",19,0,0,0,"S","Mr","singleton"
"304",1,"2","female",19,0,0,12.35,"Q","Miss","singleton"
"305",0,"3","male",27,0,0,8.05,"S","Mr","singleton"
"306",1,"1","male",0.92,1,2,151.55,"S","Master","small"
"307",1,"1","female",32,0,0,110.8833,"C","Miss","singleton"
"308",1,"1","female",17,1,0,108.9,"C","Mrs","small"
"309",0,"2","male",30,1,0,24,"C","Mr","small"
"310",1,"1","female",30,0,0,56.9292,"C","Miss","singleton"
"311",1,"1","female",24,0,0,83.1583,"C","Miss","singleton"
"312",1,"1","female",18,2,2,262.375,"C","Miss","large"
"313",0,"2","female",26,1,1,26,"S","Mrs","small"
"314",0,"3","male",28,0,0,7.8958,"S","Mr","singleton"
"315",0,"2","male",43,1,1,26.25,"S","Mr","small"
"316",1,"3","female",26,0,0,7.8542,"S","Miss","singleton"
"317",1,"2","female",24,1,0,26,"S","Mrs","small"
"318",0,"2","male",54,0,0,14,"S","Rare Title","singleton"
"319",1,"1","female",31,0,2,164.8667,"S","Miss","small"
"320",1,"1","female",40,1,1,134.5,"C","Mrs","small"
"321",0,"3","male",22,0,0,7.25,"S","Mr","singleton"
"322",0,"3","male",27,0,0,7.8958,"S","Mr","singleton"
"323",1,"2","female",30,0,0,12.35,"Q","Miss","singleton"
"324",1,"2","female",22,1,1,29,"S","Mrs","small"
"325",0,"3","male",25,8,2,69.55,"S","Mr","large"
"326",1,"1","female",36,0,0,135.6333,"C","Miss","singleton"
"327",0,"3","male",61,0,0,6.2375,"S","Mr","singleton"
"328",1,"2","female",36,0,0,13,"S","Mrs","singleton"
"329",1,"3","female",31,1,1,20.525,"S","Mrs","small"
"330",1,"1","female",16,0,1,57.9792,"C","Miss","small"
"331",1,"3","female",27,2,0,23.25,"Q","Miss","small"
"332",0,"1","male",45.5,0,0,28.5,"S","Mr","singleton"
"333",0,"1","male",38,0,1,153.4625,"S","Mr","small"
"334",0,"3","male",16,2,0,18,"S","Mr","small"
"335",1,"1","female",49,1,0,133.65,"S","Mrs","small"
"336",0,"3","male",41,0,0,7.8958,"S","Mr","singleton"
"337",0,"1","male",29,1,0,66.6,"S","Mr","small"
"338",1,"1","female",41,0,0,134.5,"C","Miss","singleton"
"339",1,"3","male",45,0,0,8.05,"S","Mr","singleton"
"340",0,"1","male",45,0,0,35.5,"S","Mr","singleton"
"341",1,"2","male",2,1,1,26,"S","Master","small"
"342",1,"1","female",24,3,2,263,"S","Miss","large"
"343",0,"2","male",28,0,0,13,"S","Mr","singleton"
"344",0,"2","male",25,0,0,13,"S","Mr","singleton"
"345",0,"2","male",36,0,0,13,"S","Mr","singleton"
"346",1,"2","female",24,0,0,13,"S","Miss","singleton"
"347",1,"2","female",40,0,0,13,"S","Miss","singleton"
"348",1,"3","female",18,1,0,16.1,"S","Mrs","small"
"349",1,"3","male",3,1,1,15.9,"S","Master","small"
"350",0,"3","male",42,0,0,8.6625,"S","Mr","singleton"
"351",0,"3","male",23,0,0,9.225,"S","Mr","singleton"
"352",0,"1","male",55,0,0,35,"S","Mr","singleton"
"353",0,"3","male",15,1,1,7.2292,"C","Mr","small"
"354",0,"3","male",25,1,0,17.8,"S","Mr","small"
"355",0,"3","male",24,0,0,7.225,"C","Mr","singleton"
"356",0,"3","male",28,0,0,9.5,"S","Mr","singleton"
"357",1,"1","female",22,0,1,55,"S","Miss","small"
"358",0,"2","female",38,0,0,13,"S","Miss","singleton"
"359",1,"3","female",28,0,0,7.8792,"Q","Miss","singleton"
"360",1,"3","female",15,0,0,7.8792,"Q","Miss","singleton"
"361",0,"3","male",40,1,4,27.9,"S","Mr","large"
"362",0,"2","male",29,1,0,27.7208,"C","Mr","small"
"363",0,"3","female",45,0,1,14.4542,"C","Mrs","small"
"364",0,"3","male",35,0,0,7.05,"S","Mr","singleton"
"365",0,"3","male",26,1,0,15.5,"Q","Mr","small"
"366",0,"3","male",30,0,0,7.25,"S","Mr","singleton"
"367",1,"1","female",60,1,0,75.25,"C","Mrs","small"
"368",1,"3","female",18,0,0,7.2292,"C","Mrs","singleton"
"369",1,"3","female",31,0,0,7.75,"Q","Miss","singleton"
"370",1,"1","female",24,0,0,69.3,"C","Mrs","singleton"
"371",1,"1","male",25,1,0,55.4417,"C","Mr","small"
"372",0,"3","male",18,1,0,6.4958,"S","Mr","small"
"373",0,"3","male",19,0,0,8.05,"S","Mr","singleton"
"374",0,"1","male",22,0,0,135.6333,"C","Mr","singleton"
"375",0,"3","female",3,3,1,21.075,"S","Miss","large"
"376",1,"1","female",23,1,0,82.1708,"C","Mrs","small"
"377",1,"3","female",22,0,0,7.25,"S","Miss","singleton"
"378",0,"1","male",27,0,2,211.5,"C","Mr","small"
"379",0,"3","male",20,0,0,4.0125,"C","Mr","singleton"
"380",0,"3","male",19,0,0,7.775,"S","Mr","singleton"
"381",1,"1","female",42,0,0,227.525,"C","Miss","singleton"
"382",1,"3","female",1,0,2,15.7417,"C","Miss","small"
"383",0,"3","male",32,0,0,7.925,"S","Mr","singleton"
"384",1,"1","female",35,1,0,52,"S","Mrs","small"
"385",0,"3","male",23.5,0,0,7.8958,"S","Mr","singleton"
"386",0,"2","male",18,0,0,73.5,"S","Mr","singleton"
"387",0,"3","male",1,5,2,46.9,"S","Master","large"
"388",1,"2","female",36,0,0,13,"S","Miss","singleton"
"389",0,"3","male",11,0,0,7.7292,"Q","Mr","singleton"
"390",1,"2","female",17,0,0,12,"C","Miss","singleton"
"391",1,"1","male",36,1,2,120,"S","Mr","small"
"392",1,"3","male",21,0,0,7.7958,"S","Mr","singleton"
"393",0,"3","male",28,2,0,7.925,"S","Mr","small"
"394",1,"1","female",23,1,0,113.275,"C","Miss","small"
"395",1,"3","female",24,0,2,16.7,"S","Mrs","small"
"396",0,"3","male",22,0,0,7.7958,"S","Mr","singleton"
"397",0,"3","female",31,0,0,7.8542,"S","Miss","singleton"
"398",0,"2","male",46,0,0,26,"S","Mr","singleton"
"399",0,"2","male",23,0,0,10.5,"S","Rare Title","singleton"
"400",1,"2","female",28,0,0,12.65,"S","Mrs","singleton"
"401",1,"3","male",39,0,0,7.925,"S","Mr","singleton"
"402",0,"3","male",26,0,0,8.05,"S","Mr","singleton"
"403",0,"3","female",21,1,0,9.825,"S","Miss","small"
"404",0,"3","male",28,1,0,15.85,"S","Mr","small"
"405",0,"3","female",20,0,0,8.6625,"S","Miss","singleton"
"406",0,"2","male",34,1,0,21,"S","Mr","small"
"407",0,"3","male",51,0,0,7.75,"S","Mr","singleton"
"408",1,"2","male",3,1,1,18.75,"S","Master","small"
"409",0,"3","male",21,0,0,7.775,"S","Mr","singleton"
"410",0,"3","female",2,3,1,25.4667,"S","Miss","large"
"411",0,"3","male",19,0,0,7.8958,"S","Mr","singleton"
"412",0,"3","male",32,0,0,6.8583,"Q","Mr","singleton"
"413",1,"1","female",33,1,0,90,"Q","Miss","small"
"414",0,"2","male",35,0,0,0,"S","Mr","singleton"
"415",1,"3","male",44,0,0,7.925,"S","Mr","singleton"
"416",0,"3","female",21,0,0,8.05,"S","Mrs","singleton"
"417",1,"2","female",34,1,1,32.5,"S","Mrs","small"
"418",1,"2","female",18,0,2,13,"S","Miss","small"
"419",0,"2","male",30,0,0,13,"S","Mr","singleton"
"420",0,"3","female",10,0,2,24.15,"S","Miss","small"
"421",0,"3","male",33,0,0,7.8958,"C","Mr","singleton"
"422",0,"3","male",21,0,0,7.7333,"Q","Mr","singleton"
"423",0,"3","male",29,0,0,7.875,"S","Mr","singleton"
"424",0,"3","female",28,1,1,14.4,"S","Mrs","small"
"425",0,"3","male",18,1,1,20.2125,"S","Mr","small"
"426",0,"3","male",26,0,0,7.25,"S","Mr","singleton"
"427",1,"2","female",28,1,0,26,"S","Mrs","small"
"428",1,"2","female",19,0,0,26,"S","Miss","singleton"
"429",0,"3","male",30,0,0,7.75,"Q","Mr","singleton"
"430",1,"3","male",32,0,0,8.05,"S","Mr","singleton"
"431",1,"1","male",28,0,0,26.55,"S","Mr","singleton"
"432",1,"3","female",32,1,0,16.1,"S","Mrs","small"
"433",1,"2","female",42,1,0,26,"S","Mrs","small"
"434",0,"3","male",17,0,0,7.125,"S","Mr","singleton"
"435",0,"1","male",50,1,0,55.9,"S","Mr","small"
"436",1,"1","female",14,1,2,120,"S","Miss","small"
"437",0,"3","female",21,2,2,34.375,"S","Miss","large"
"438",1,"2","female",24,2,3,18.75,"S","Mrs","large"
"439",0,"1","male",64,1,4,263,"S","Mr","large"
"440",0,"2","male",31,0,0,10.5,"S","Mr","singleton"
"441",1,"2","female",45,1,1,26.25,"S","Mrs","small"
"442",0,"3","male",20,0,0,9.5,"S","Mr","singleton"
"443",0,"3","male",25,1,0,7.775,"S","Mr","small"
